web-scraper-order,web-scraper-start-url,Detail,Detail-href,Name,Image-src,Category,Ig_Follow,eng_rate,est_Reel_play,Avg_like,Avg_Comments,yt_subs,views(30 days),total_views,uplaods,yt_links,yt_links-href,insta_link,insta_link-href
"1708342301-25","https://goodcreator.co/instagram-influencers/defence/under-10k-followers?sourcePage=Creator%20listing%20page&sourceCTA=Filters","Details","https://goodcreator.co/influencer/military_m0tivation/IA_97196?sourceCTA=Details%20option&soucePage=Creator%20listing%20page","Military motivation","https://d24w28i6lzk071.cloudfront.net/assets/profiles/instagram/32581386153.jpg","Defence","4,381","23.17%","12,980","1,017","5","","","","","","","","https://www.instagram.com/military_m0tivation"
"1708342310-26","https://goodcreator.co/instagram-influencers/defence/under-10k-followers?sourcePage=Creator%20listing%20page&sourceCTA=Filters","Details","https://goodcreator.co/influencer/sachin_sheokand__/IA_103690?sourceCTA=Details%20option&soucePage=Creator%20listing%20page","Sachin Sheokand | DEFENCE MENTOR | SSB GUIDE","https://d24w28i6lzk071.cloudfront.net/assets/profiles/instagram/6045817268.jpg","Defence","4,409","3.42%","1,846","142","8","","","","","","","","https://www.instagram.com/sachin_sheokand__"
"1708342318-27","https://goodcreator.co/instagram-influencers/defence/under-10k-followers?sourcePage=Creator%20listing%20page&sourceCTA=Filters","Details","https://goodcreator.co/influencer/amit_singh_0_0_/IA_98076?sourceCTA=Details%20option&soucePage=Creator%20listing%20page","अमित सिंह कछवाह 👑","https://d24w28i6lzk071.cloudfront.net/assets/profiles/instagram/7761173896.jpg","Defence","4,420","5.16%","7,260","222","6","13,800","36,112","5,878,380","270","","https://www.youtube.com/channel/UC_P4aU0zdgzw9LOx01393vw","","https://www.instagram.com/amit_singh_0_0_"
"1708342324-28","https://goodcreator.co/instagram-influencers/defence/under-10k-followers?sourcePage=Creator%20listing%20page&sourceCTA=Filters","Details","https://goodcreator.co/influencer/rakeshsy2/IA_96271?sourceCTA=Details%20option&soucePage=Creator%20listing%20page","Rakesh Yadav","https://d24w28i6lzk071.cloudfront.net/assets/profiles/instagram/4489245737.jpg","Defence","4,484","10.38%","2,330","456","9","","","","","","","","https://www.instagram.com/rakeshsy2"
"1708342331-29","https://goodcreator.co/instagram-influencers/defence/under-10k-followers?sourcePage=Creator%20listing%20page&sourceCTA=Filters","Details","https://goodcreator.co/influencer/doondefenceacademy/IA_101237?sourceCTA=Details%20option&soucePage=Creator%20listing%20page","Doondefenceacademy Dehradun","https://d24w28i6lzk071.cloudfront.net/assets/profiles/instagram/3581092636.jpg","Defence","4,729","0.57%","1,176","27","NaN","","","","","","","","https://www.instagram.com/doondefenceacademy"
"1708342340-30","https://goodcreator.co/instagram-influencers/defence/under-10k-followers?sourcePage=Creator%20listing%20page&sourceCTA=Filters","Details","https://goodcreator.co/influencer/jitendra95gupta/IA_104187?sourceCTA=Details%20option&soucePage=Creator%20listing%20page","Jitendra Gupta","https://d24w28i6lzk071.cloudfront.net/assets/profiles/instagram/2256586155.jpg","Defence","4,943","0.15%","3,960","3","4","","","","","","","","https://www.instagram.com/jitendra95gupta"
"1708342348-31","https://goodcreator.co/instagram-influencers/defence/under-10k-followers?sourcePage=Creator%20listing%20page&sourceCTA=Filters","Details","https://goodcreator.co/influencer/indiandefenceupdat/IA_90938?sourceCTA=Details%20option&soucePage=Creator%20listing%20page","Indian Defence Updates","https://d24w28i6lzk071.cloudfront.net/assets/profiles/instagram/7995331210.jpg","Defence","5,404","1.52%","889","81","0","","","","","","","","https://www.instagram.com/indiandefenceupdat"
"1708342357-32","https://goodcreator.co/instagram-influencers/defence/under-10k-followers?sourcePage=Creator%20listing%20page&sourceCTA=Filters","Details","https://goodcreator.co/influencer/army_boy_godda/IA_91540?sourceCTA=Details%20option&soucePage=Creator%20listing%20page","Jitu Kumar","https://d24w28i6lzk071.cloudfront.net/assets/profiles/instagram/43828199424.jpg","Defence","5,579","3.08%","1,386","165","6","","","","","","","","https://www.instagram.com/army_boy_godda"
"1708342364-33","https://goodcreator.co/instagram-influencers/defence/under-10k-followers?sourcePage=Creator%20listing%20page&sourceCTA=Filters","Details","https://goodcreator.co/influencer/defence_matrix/IA_94831?sourceCTA=Details%20option&soucePage=Creator%20listing%20page","Defence Matrix","https://d24w28i6lzk071.cloudfront.net/assets/profiles/instagram/32277911353.jpg","Defence","5,773","4.34%","1,908","249","1","176,000","1,255,028","57,656,520","1,364","","https://www.youtube.com/channel/UCw6U3cnGZb4dbmnB-zhhJLQ","","https://www.instagram.com/defence_matrix"
"1708342371-34","https://goodcreator.co/instagram-influencers/defence/under-10k-followers?sourcePage=Creator%20listing%20page&sourceCTA=Filters","Details","https://goodcreator.co/influencer/indian_defences/IA_88602?sourceCTA=Details%20option&soucePage=Creator%20listing%20page","MILITARY GALLARY","https://d24w28i6lzk071.cloudfront.net/assets/profiles/instagram/9486404309.jpg","Defence","6,040","3.63%","212","218","1","","","","","","","","https://www.instagram.com/indian_defences"
