web-scraper-order,Name,Image-src,Category,Ig_Follow,eng_rate,est_Reel_play,Avg_like,Avg_Comments,yt_subs,views(30 days),total_views,uplaods,yt_links-href,insta_link-href
1708342222-13,MR ABHAY SHARMA 🔵,https://d24w28i6lzk071.cloudfront.net/assets/profiles/instagram/48097995553.jpg,Defence,3656.0,4.34%,956.0,154.0,3.0,,,,,,https://www.instagram.com/perfect_solidzer_abhay
1708342225-14,𝐷𝑒𝑓𝑒𝑛𝑐𝑒 𝑠𝑡𝑢𝑑𝑦 𝑐𝑎𝑝𝑠𝑢𝑙𝑒,https://d24w28i6lzk071.cloudfront.net/assets/profiles/instagram/40808349786.jpg,Defence,3697.0,13.97%,11049.0,513.0,5.0,25600.0,21282.0,1571205.0,160.0,https://www.youtube.com/channel/UCsVbGpAudSn3Lfl0L1GXaCw,https://www.instagram.com/defencestudycapsule
1708342230-15,Ohi_Fauji_13,https://d24w28i6lzk071.cloudfront.net/assets/profiles/instagram/42081839072.jpg,Defence,3746.0,2.90%,715.0,107.0,1.0,,,,,,https://www.instagram.com/ohi_fauji_13
1708342234-16,№15 | RAAVAN,https://d24w28i6lzk071.cloudfront.net/assets/profiles/instagram/26413289607.jpg,Defence,3981.0,17.49%,5975.0,688.0,8.0,,,,,,https://www.instagram.com/battleaxes_raavan
1708342240-17,Gladiator Commando,https://d24w28i6lzk071.cloudfront.net/assets/profiles/instagram/1971054714.jpg,Defence,4063.0,1.01%,2364.0,32.0,8.0,,,,,,https://www.instagram.com/icommando2025
1708342246-18,🥇Bharti Josh Army🥇,https://d24w28i6lzk071.cloudfront.net/assets/profiles/instagram/44922014259.jpg,Defence,4087.0,0.09%,35.0,3.0,,,,,,,https://www.instagram.com/bhartijosharmy
1708342254-19,Fauji Maharashtracha,https://d24w28i6lzk071.cloudfront.net/assets/profiles/instagram/47352468403.jpg,Defence,4155.0,1.31%,812.0,54.0,0.0,200000.0,154954.0,8857117.0,666.0,https://www.youtube.com/channel/UCgDzyTgv7DZNRAl_DXPKpmA,https://www.instagram.com/faujimaharashtracha
1708342263-20,PISTAUL SINGH,https://d24w28i6lzk071.cloudfront.net/assets/profiles/instagram/46055669942.jpg,Defence,4232.0,52.90%,14810.0,2228.0,10.0,,,,,,https://www.instagram.com/basedindianedits
1708342271-21,Abhishek Jha,https://d24w28i6lzk071.cloudfront.net/assets/profiles/instagram/2347223551.jpg,Defence,4294.0,9.00%,14084.0,382.0,4.0,,,,,,https://www.instagram.com/abhi_official27
1708342279-22,Shaurya Bharat,https://d24w28i6lzk071.cloudfront.net/assets/profiles/instagram/10674886310.jpg,Defence,4295.0,1.47%,1598.0,62.0,0.0,,,,,,https://www.instagram.com/shaurya_bharat
1708342287-23,𝙙𝙚𝙛𝙚𝙣𝙘𝙚𝙓™ | YouTube,https://d24w28i6lzk071.cloudfront.net/assets/profiles/instagram/9726626703.jpg,Defence,4367.0,4.46%,1907.0,194.0,0.0,,,,,,https://www.instagram.com/defence_x
1708342294-24,🅹🅰🆃 🥷☠️,https://d24w28i6lzk071.cloudfront.net/assets/profiles/instagram/52877893093.jpg,Defence,4372.0,0.83%,165.0,36.0,0.0,,,,,,https://www.instagram.com/_devil__fouji_
1708342301-25,Military motivation,https://d24w28i6lzk071.cloudfront.net/assets/profiles/instagram/32581386153.jpg,Defence,4381.0,23.17%,12980.0,1017.0,5.0,,,,,,https://www.instagram.com/military_m0tivation
1708342310-26,Sachin Sheokand | DEFENCE MENTOR | SSB GUIDE,https://d24w28i6lzk071.cloudfront.net/assets/profiles/instagram/6045817268.jpg,Defence,4409.0,3.42%,1846.0,142.0,8.0,,,,,,https://www.instagram.com/sachin_sheokand__
1708342318-27,अमित सिंह कछवाह 👑,https://d24w28i6lzk071.cloudfront.net/assets/profiles/instagram/7761173896.jpg,Defence,4420.0,5.16%,7260.0,222.0,6.0,13800.0,36112.0,5878380.0,270.0,https://www.youtube.com/channel/UC_P4aU0zdgzw9LOx01393vw,https://www.instagram.com/amit_singh_0_0_
1708342324-28,Rakesh Yadav,https://d24w28i6lzk071.cloudfront.net/assets/profiles/instagram/4489245737.jpg,Defence,4484.0,10.38%,2330.0,456.0,9.0,,,,,,https://www.instagram.com/rakeshsy2
